GameID,Name,Platform,Year,Genre,Publisher,Global_Sales,Critic_Score,User_Score,Avg_Playtime_Hours,Price_USD,ESRB_Rating,Multiplayer,Sales_Category,Score_Gap,Decade
G0043,Dark Fury,Mobile,2023,Adventure,Bandai Namco,4.12,85,8.6,25,39.99,T,No,Medium (1-5M),-0.1,2020
G0044,Neon Worlds 3,Xbox,2017,Sports,Activision,2.94,85,7.0,42,19.99,T,Yes,Medium (1-5M),1.5,2010
G0045,Legend Chronicles,PC,2020,Shooter,Nintendo,0.67,78,8.0,48,14.99,M,No,Low (<1M),-0.2,2020
G0046,Legend Dawn,Xbox,2020,Puzzle,Ubisoft,0.98,76,8.4,17,39.99,M,Yes,Low (<1M),-0.8,2020
G0047,Epic Rivals,PlayStation,2022,Strategy,Epic Games,2.22,75,7.5,93,49.99,M,No,Medium (1-5M),0.0,2020
G0048,Super Arena,Nintendo Switch,2014,Racing,Electronic Arts,1.47,66,5.6,12,19.99,M,No,Medium (1-5M),1.0,2010
G0049,Iron Raid,PC,2018,Action,Sega,0.1,70,6.3,45,49.99,M,Yes,Low (<1M),0.7,2010
G0050,Eternal Strike,Xbox,2018,Strategy,Sony Interactive,17.08,84,7.8,19,9.99,E10+,No,Blockbuster (15M+),0.6,2010
G0051,Battle Fury,PlayStation,2013,RPG,Nintendo,0.58,97,9.2,35,39.99,T,No,Low (<1M),0.5,2010
G0052,Ancient Tactics 1,Nintendo Switch,2012,Sports,Valve,0.62,88,8.8,9,29.99,T,No,Low (<1M),0.0,2010
G0053,Legend Odyssey 3,PlayStation,2019,Shooter,Nintendo,3.07,61,5.7,47,49.99,E,Yes,Medium (1-5M),0.4,2010
G0054,Mega Worlds 3,PC,2023,Action,Sega,4.85,61,5.4,10,39.99,T,Yes,Medium (1-5M),0.7,2020
G0055,Shadow Worlds 1,Xbox,2019,Strategy,Epic Games,8.47,66,5.7,36,19.99,E10+,No,High (5-15M),0.9,2010
G0056,Dragon Chronicles,PlayStation,2019,Shooter,Ubisoft,13.76,62,5.9,48,39.99,E,Yes,High (5-15M),0.3,2010
G0057,Pixel Rivals 1,PC,2020,Shooter,Take-Two,4.45,73,6.2,15,29.99,E,No,Medium (1-5M),1.1,2020
G0058,Storm Rivals 2,Xbox,2014,Shooter,Capcom,1.65,73,8.9,49,49.99,E10+,Yes,Medium (1-5M),-1.6,2010
G0059,Final Strike 3,PlayStation,2021,RPG,Ubisoft,6.13,54,5.5,21,9.99,E10+,Yes,High (5-15M),-0.1,2020
G0060,Final Fury,Nintendo Switch,2025,Sports,Square Enix,0.24,82,8.2,23,59.99,M,Yes,Low (<1M),0.0,2020
G0061,Lost Warriors,Xbox,2020,Adventure,Ubisoft,36.14,93,9.7,14,19.99,E10+,Yes,Blockbuster (15M+),-0.4,2020
G0062,Dark Warriors,PC,2012,Sports,Sega,2.89,75,7.8,24,29.99,T,Yes,Medium (1-5M),-0.3,2010
G0063,Eternal Tactics 1,PlayStation,2021,Sports,Valve,9.51,61,7.7,16,49.99,E,No,High (5-15M),-1.6,2020
G0064,Pixel Tactics 1,PlayStation,2016,Strategy,Square Enix,8.65,71,7.3,34,49.99,M,No,High (5-15M),-0.2,2010
G0065,Lost Dawn 3,PC,2025,Adventure,Sega,3.11,81,9.2,43,39.99,T,No,Medium (1-5M),-1.1,2020
G0066,Rising Strike,PlayStation,2012,Shooter,Capcom,1.42,54,4.5,25,19.99,T,Yes,Medium (1-5M),0.9,2010
G0067,Shadow Horizon,Xbox,2021,RPG,Nintendo,8.69,88,9.3,25,49.99,E,Yes,High (5-15M),-0.5,2020
G0068,Battle Arena,Xbox,2025,Adventure,Nintendo,20.1,78,7.2,43,49.99,E,No,Blockbuster (15M+),0.6,2020
G0069,Lost Empire,PlayStation,2024,Action,Square Enix,3.88,67,7.2,48,49.99,T,No,Medium (1-5M),-0.5,2020
G0070,Eternal Rivals 2,PlayStation,2022,Adventure,Sega,1.31,65,4.9,16,39.99,M,Yes,Medium (1-5M),1.6,2020
G0071,Ultra Warriors,PC,2019,Action,Valve,1.81,76,6.8,61,9.99,E,Yes,Medium (1-5M),0.8,2010
G0072,Eternal Warriors,Mobile,2012,Simulation,Sony Interactive,3.53,87,7.0,71,9.99,E10+,No,Medium (1-5M),1.7,2010
G0073,Shadow Warriors,PlayStation,2015,Action,Capcom,0.97,40,3.8,42,9.99,M,Yes,Low (<1M),0.2,2010
G0074,Ancient Age 3,PC,2016,Shooter,Square Enix,14.89,65,5.5,14,19.99,T,No,High (5-15M),1.0,2010
G0075,Legend Horizon 1,PlayStation,2017,Sports,Valve,0.95,75,6.4,11,29.99,E10+,No,Low (<1M),1.1,2010
G0076,Mega Souls 3,PlayStation,2012,RPG,Bandai Namco,17.82,69,5.3,40,49.99,T,No,Blockbuster (15M+),1.6,2010
G0077,Mega Warriors,PlayStation,2014,Sports,Nintendo,5.71,70,6.6,35,19.99,T,Yes,High (5-15M),0.4,2010
G0078,Final Age,PC,2013,Action,Take-Two,4.3,74,6.5,14,49.99,E,Yes,Medium (1-5M),0.9,2010
G0079,Pixel Strike,PC,2012,Strategy,Valve,2.48,71,7.5,12,59.99,M,Yes,Medium (1-5M),-0.4,2010
G0080,Dragon Worlds 1,PC,2018,Racing,Ubisoft,5.23,58,6.2,21,49.99,E10+,Yes,High (5-15M),-0.4,2010
G0081,Neon Tactics,Xbox,2023,RPG,Nintendo,1.21,95,7.5,80,19.99,M,No,Medium (1-5M),2.0,2020
G0082,Legend Quest,Nintendo Switch,2019,Action,Epic Games,4.89,75,6.9,23,19.99,T,No,Medium (1-5M),0.6,2010
G0083,Storm Force 1,PC,2022,Adventure,Nintendo,14.13,87,8.5,61,49.99,T,Yes,High (5-15M),0.2,2020
G0084,Ancient Arena 2,PlayStation,2023,RPG,Take-Two,2.31,63,5.3,44,49.99,T,No,Medium (1-5M),1.0,2020
G0085,Legend Worlds,PlayStation,2025,Simulation,Sega,0.62,62,6.0,20,9.99,M,Yes,Low (<1M),0.2,2020
G0086,Super Tactics,Xbox,2019,Fighting,Activision,2.89,80,6.3,22,39.99,E,No,Medium (1-5M),1.7,2010
G0087,Neon Age 3,Mobile,2022,Simulation,Ubisoft,2.25,98,8.5,9,29.99,T,No,Medium (1-5M),1.3,2020
G0088,Neon Force,PC,2013,Sports,Sony Interactive,10.8,66,6.5,95,14.99,M,No,High (5-15M),0.1,2010
G0089,Epic Arena 1,Nintendo Switch,2016,Shooter,Microsoft,4.51,74,7.3,41,49.99,E,No,Medium (1-5M),0.1,2010
G0090,Eternal Legacy 3,Xbox,2012,Action,Take-Two,1.09,98,8.9,19,49.99,E,Yes,Medium (1-5M),0.9,2010
G0091,Ultra Odyssey 3,Nintendo Switch,2025,Sports,Nintendo,2.29,84,7.0,34,14.99,E,No,Medium (1-5M),1.4,2020
G0092,Shadow Chronicles,Xbox,2023,RPG,Take-Two,7.81,50,4.2,50,39.99,M,No,High (5-15M),0.8,2020
G0093,Pixel Warriors 1,PC,2021,Adventure,Ubisoft,9.21,74,8.1,15,29.99,T,No,High (5-15M),-0.7,2020
G0094,Pixel Horizon,Mobile,2021,Simulation,Capcom,5.24,48,3.0,19,59.99,T,No,High (5-15M),1.8,2020
G0095,Eternal Raid,Mobile,2020,Adventure,Electronic Arts,1.34,70,7.2,8,69.99,M,No,Medium (1-5M),-0.2,2020
G0096,Dark Chronicles,Mobile,2018,Fighting,Nintendo,2.82,66,5.9,37,59.99,E,Yes,Medium (1-5M),0.7,2010
G0097,Epic Dawn 2,PC,2021,RPG,Activision,9.14,80,6.7,36,39.99,T,No,High (5-15M),1.3,2020
G0098,Storm Dawn 1,PlayStation,2013,Adventure,Electronic Arts,6.06,69,6.0,14,39.99,T,No,High (5-15M),0.9,2010
G0099,Shadow Empire,Nintendo Switch,2014,Action,Epic Games,7.85,87,7.7,26,29.99,E10+,Yes,High (5-15M),1.0,2010
G0100,Shadow Fury 1,PlayStation,2017,Racing,Sony Interactive,8.91,61,3.0,13,39.99,M,Yes,High (5-15M),3.1,2010
G0101,Final Legacy,PlayStation,2024,Racing,Electronic Arts,6.21,77,8.1,32,59.99,T,No,High (5-15M),-0.4,2020
G0102,Super Raid 3,Xbox,2022,Racing,Microsoft,4.73,72,6.9,36,59.99,E,No,Medium (1-5M),0.3,2020
G0103,Dragon Raid,Mobile,2013,Adventure,Nintendo,18.62,78,6.9,15,14.99,E10+,No,Blockbuster (15M+),0.9,2010
G0104,Mega Arena 3,PlayStation,2019,Action,Bandai Namco,3.85,76,7.5,74,69.99,E10+,No,Medium (1-5M),0.1,2010
G0105,Dark Souls,PC,2015,Fighting,Nintendo,2.23,76,8.2,11,9.99,T,Yes,Medium (1-5M),-0.6,2010
G0106,Rising Worlds 2,PC,2013,Shooter,Bandai Namco,43.82,65,4.8,64,9.99,M,Yes,Blockbuster (15M+),1.7,2010
G0107,Space Empire,PC,2018,Simulation,Sega,3.23,59,5.7,55,49.99,E10+,No,Medium (1-5M),0.2,2010
G0108,Battle Odyssey 1,PC,2022,Strategy,Epic Games,0.55,67,7.3,12,49.99,E10+,No,Low (<1M),-0.6,2020
G0109,Pixel Fury,PlayStation,2023,Racing,Epic Games,6.96,79,8.1,33,49.99,T,Yes,High (5-15M),-0.2,2020
G0110,Battle Dawn,Mobile,2014,Action,Nintendo,3.91,91,8.3,86,19.99,T,Yes,Medium (1-5M),0.8,2010
G0111,Cyber Force,PC,2019,Shooter,Square Enix,2.91,51,4.4,4,39.99,E10+,No,Medium (1-5M),0.7,2010
G0112,Pixel Warriors 2,Nintendo Switch,2019,Simulation,Epic Games,1.15,73,7.0,10,39.99,T,No,Medium (1-5M),0.3,2010
G0113,Space Odyssey,PlayStation,2013,Action,Electronic Arts,4.11,65,5.4,20,39.99,T,No,Medium (1-5M),1.1,2010
G0114,Storm Strike 3,PC,2012,Adventure,Square Enix,17.02,85,8.2,15,49.99,M,No,Blockbuster (15M+),0.3,2010
G0115,Final Quest,PlayStation,2022,Simulation,Take-Two,9.77,97,9.8,33,39.99,E,Yes,High (5-15M),-0.1,2020
G0116,Legend Odyssey,Xbox,2023,Sports,Take-Two,2.75,98,8.3,51,39.99,T,No,Medium (1-5M),1.5,2020
G0117,Dark Empire,PC,2023,Sports,Ubisoft,7.33,50,4.0,24,29.99,E10+,Yes,High (5-15M),1.0,2020
G0118,Final Odyssey,Nintendo Switch,2012,Adventure,Sony Interactive,9.26,84,6.6,13,29.99,M,Yes,High (5-15M),1.8,2010
G0119,Neon Dawn 2,Xbox,2015,Simulation,Sega,2.96,95,7.9,16,39.99,M,Yes,Medium (1-5M),1.6,2010
G0120,Battle Horizon,Xbox,2012,Shooter,Activision,2.56,90,9.8,59,29.99,T,Yes,Medium (1-5M),-0.8,2010
G0121,Neon Souls,PlayStation,2017,Action,Valve,31.71,54,6.5,45,14.99,T,Yes,Blockbuster (15M+),-1.1,2010
G0122,Cyber Empire 2,Nintendo Switch,2016,RPG,Electronic Arts,2.58,78,7.5,34,19.99,E,Yes,Medium (1-5M),0.3,2010
G0123,Storm Odyssey,PlayStation,2025,Sports,Capcom,0.86,68,7.7,44,14.99,E,Yes,Low (<1M),-0.9,2020
G0124,Lost Strike,Xbox,2016,Strategy,Electronic Arts,5.05,79,8.4,28,19.99,E,Yes,High (5-15M),-0.5,2010
G0125,Super Chronicles 3,PlayStation,2015,Action,Sega,12.08,73,7.1,6,9.99,E,No,High (5-15M),0.2,2010
G0126,Iron Odyssey 1,PC,2013,Puzzle,Capcom,10.01,78,8.3,3,39.99,T,Yes,High (5-15M),-0.5,2010
G0127,Neon Worlds,PC,2013,Action,Sega,2.12,80,8.2,13,14.99,E10+,No,Medium (1-5M),-0.2,2010
G0128,Epic Quest 2,Xbox,2018,Adventure,Sega,2.96,73,7.5,17,59.99,M,Yes,Medium (1-5M),-0.2,2010
G0129,Iron Chronicles,Mobile,2012,Strategy,Activision,8.36,95,8.4,18,39.99,E10+,No,High (5-15M),1.1,2010
G0130,Storm Strike,Nintendo Switch,2016,Puzzle,Bandai Namco,1.71,70,7.7,39,59.99,E10+,No,Medium (1-5M),-0.7,2010
G0131,Battle Rivals,PC,2024,Simulation,Epic Games,0.83,63,4.9,55,49.99,T,No,Low (<1M),1.4,2020
G0132,Epic Quest,PlayStation,2012,RPG,Electronic Arts,0.51,95,9.2,20,14.99,T,No,Low (<1M),0.3,2010
G0133,Dark Raid 3,PlayStation,2019,Sports,Ubisoft,2.52,73,6.1,8,29.99,T,No,Medium (1-5M),1.2,2010
G0134,Dark Tactics 2,Nintendo Switch,2017,Shooter,Ubisoft,5.26,95,9.0,59,59.99,E,No,High (5-15M),0.5,2010
G0135,Ancient Dawn,PlayStation,2015,Racing,Sony Interactive,0.89,72,7.2,11,39.99,T,No,Low (<1M),0.0,2010
G0136,Lost Age,Xbox,2021,Shooter,Nintendo,2.26,92,8.1,25,59.99,M,Yes,Medium (1-5M),1.1,2020
G0137,Eternal Tactics,Nintendo Switch,2024,RPG,Sega,4.24,83,8.4,4,14.99,E,No,Medium (1-5M),-0.1,2020
G0138,Rising Tactics 1,Xbox,2021,Sports,Capcom,1.19,79,8.2,20,49.99,T,Yes,Medium (1-5M),-0.3,2020
G0139,Mega Arena,Xbox,2015,RPG,Valve,13.38,80,7.2,33,29.99,E,Yes,High (5-15M),0.8,2010
G0140,Neon Worlds 2,PlayStation,2016,Simulation,Electronic Arts,2.27,62,5.3,15,49.99,E10+,No,Medium (1-5M),0.9,2010
G0141,Eternal Chronicles 1,PC,2014,Action,Take-Two,1.96,93,9.8,16,49.99,M,Yes,Medium (1-5M),-0.5,2010
G0142,Battle Legacy,Xbox,2021,Action,Take-Two,2.18,84,9.0,81,29.99,E10+,Yes,Medium (1-5M),-0.6,2020
G0143,Legend Raid,PlayStation,2023,Shooter,Ubisoft,3.5,76,6.2,43,39.99,T,Yes,Medium (1-5M),1.4,2020
G0144,Ultra Raid,PC,2013,Sports,Take-Two,0.7,58,5.5,26,29.99,T,Yes,Low (<1M),0.3,2010
G0145,Storm Quest,Xbox,2020,Puzzle,Take-Two,1.4,74,8.4,19,29.99,T,No,Medium (1-5M),-1.0,2020
G0146,Storm Souls,PC,2023,Fighting,Activision,4.55,83,8.1,57,39.99,E,No,Medium (1-5M),0.2,2020
G0147,Final Dawn,Nintendo Switch,2017,Action,Nintendo,1.33,63,5.4,20,59.99,T,Yes,Medium (1-5M),0.9,2010
G0148,Eternal Worlds,PlayStation,2015,RPG,Ubisoft,13.54,74,7.3,24,59.99,E10+,No,High (5-15M),0.1,2010
G0149,Pixel Raid,Nintendo Switch,2014,Action,Square Enix,30.39,77,7.1,17,49.99,E10+,Yes,Blockbuster (15M+),0.6,2010
G0150,Battle Odyssey,PC,2025,Action,Nintendo,11.95,75,6.6,154,29.99,T,Yes,High (5-15M),0.9,2020
G0151,Storm Quest 2,Nintendo Switch,2015,Fighting,Activision,1.38,78,8.3,2,19.99,E,No,Medium (1-5M),-0.5,2010
G0152,Epic Tactics 2,Xbox,2025,Action,Nintendo,1.77,72,5.9,37,39.99,T,Yes,Medium (1-5M),1.3,2020
G0153,Battle Odyssey 2,Nintendo Switch,2021,Action,Capcom,5.85,69,6.1,19,49.99,E,No,High (5-15M),0.8,2020
G0154,Dragon Souls 2,Nintendo Switch,2018,Puzzle,Valve,9.44,56,3.3,47,14.99,M,Yes,High (5-15M),2.3,2010
G0155,Pixel Chronicles,PlayStation,2023,Adventure,Microsoft,8.66,83,7.5,3,9.99,E10+,No,High (5-15M),0.8,2020
G0156,Space Worlds,PlayStation,2012,Action,Bandai Namco,5.31,80,7.8,12,39.99,M,Yes,High (5-15M),0.2,2010
G0157,Shadow Quest,PC,2015,Sports,Valve,12.13,80,8.5,30,29.99,M,Yes,High (5-15M),-0.5,2010
G0158,Ultra Quest,Xbox,2020,Action,Electronic Arts,7.1,71,7.4,14,49.99,T,Yes,High (5-15M),-0.3,2020
G0159,Mega Legacy,PC,2012,Sports,Valve,11.1,72,6.4,23,9.99,T,No,High (5-15M),0.8,2010
G0160,Dark Strike,PC,2012,Simulation,Sony Interactive,0.25,76,7.5,24,69.99,M,No,Low (<1M),0.1,2010
G0161,Pixel Fury 3,PlayStation,2016,RPG,Microsoft,2.28,84,8.6,61,29.99,E10+,Yes,Medium (1-5M),-0.2,2010
G0162,Dark Horizon,Nintendo Switch,2020,Shooter,Capcom,2.61,74,8.3,86,49.99,M,No,Medium (1-5M),-0.9,2020
G0163,Ultra Chronicles,PlayStation,2019,Action,Ubisoft,2.8,58,4.1,6,39.99,M,Yes,Medium (1-5M),1.7,2010
G0164,Mega Force,PC,2025,Action,Electronic Arts,1.25,84,8.3,29,59.99,M,Yes,Medium (1-5M),0.1,2020
G0165,Storm Warriors,PlayStation,2019,Strategy,Square Enix,1.0,76,7.2,19,49.99,E10+,No,Low (<1M),0.4,2010
G0166,Final Fury 3,PC,2016,Racing,Nintendo,2.04,81,8.8,24,49.99,T,No,Medium (1-5M),-0.7,2010
G0167,Dragon Quest,PC,2014,Sports,Take-Two,8.36,78,8.5,39,14.99,T,Yes,High (5-15M),-0.7,2010
G0168,Rising Force,Xbox,2012,Adventure,Nintendo,2.64,63,5.5,37,39.99,T,No,Medium (1-5M),0.8,2010
G0169,Space Tactics,PlayStation,2024,Adventure,Capcom,4.12,74,6.5,38,69.99,E10+,Yes,Medium (1-5M),0.9,2020
G0170,Final Horizon,PC,2019,Action,Activision,31.73,69,6.8,47,29.99,E10+,No,Blockbuster (15M+),0.1,2010
G0171,Pixel Dawn,Xbox,2015,Action,Valve,2.35,98,9.0,27,39.99,T,No,Medium (1-5M),0.8,2010
G0172,Lost Raid,Xbox,2013,Shooter,Activision,10.16,67,5.7,24,9.99,E10+,No,High (5-15M),1.0,2010
G0173,Storm Arena,Nintendo Switch,2014,Racing,Bandai Namco,2.06,63,5.3,22,19.99,T,No,Medium (1-5M),1.0,2010
G0174,Mega Chronicles 2,Mobile,2024,Puzzle,Electronic Arts,29.6,61,5.5,29,29.99,M,Yes,Blockbuster (15M+),0.6,2020
G0175,Mega Tactics,Xbox,2020,Shooter,Nintendo,1.05,59,5.2,42,39.99,E10+,No,Medium (1-5M),0.7,2020
G0176,Super Rivals 2,PlayStation,2014,Adventure,Sony Interactive,2.77,78,7.3,64,39.99,E,Yes,Medium (1-5M),0.5,2010
G0177,Dragon Arena,PlayStation,2012,Racing,Square Enix,11.17,83,8.3,11,14.99,M,No,High (5-15M),0.0,2010
G0178,Pixel Dawn 1,PC,2023,Puzzle,Sega,1.43,63,6.3,21,19.99,E10+,No,Medium (1-5M),0.0,2020
G0179,Rising Dawn,Nintendo Switch,2023,Sports,Capcom,2.14,73,7.1,11,29.99,E10+,No,Medium (1-5M),0.2,2020
G0180,Rising Rivals,Xbox,2015,Action,Square Enix,9.35,75,7.1,16,19.99,T,No,High (5-15M),0.4,2010
G0181,Cyber Chronicles 2,Xbox,2021,Adventure,Sony Interactive,0.88,98,9.6,31,29.99,E,Yes,Low (<1M),0.2,2020
G0182,Mega Empire,PC,2018,Adventure,Microsoft,11.18,98,9.3,27,49.99,T,Yes,High (5-15M),0.5,2010
G0183,Space Rivals,PlayStation,2016,Sports,Sony Interactive,2.53,98,9.8,11,39.99,E,No,Medium (1-5M),0.0,2010
G0184,Space Raid,PlayStation,2014,Simulation,Electronic Arts,2.04,64,5.7,12,49.99,T,Yes,Medium (1-5M),0.7,2010
G0185,Eternal Odyssey,Nintendo Switch,2023,Simulation,Epic Games,4.2,81,8.1,74,39.99,E,Yes,Medium (1-5M),0.0,2020
G0186,Lost Arena,PlayStation,2014,RPG,Microsoft,2.23,48,3.8,21,29.99,E,Yes,Medium (1-5M),1.0,2010
G0187,Dragon Force,PlayStation,2020,Action,Nintendo,2.2,60,4.8,35,59.99,T,Yes,Medium (1-5M),1.2,2020
G0188,Super Strike 2,PC,2014,Shooter,Bandai Namco,3.55,79,7.2,17,59.99,T,Yes,Medium (1-5M),0.7,2010
G0189,Dark Strike 2,Xbox,2017,Sports,Activision,4.1,76,7.7,24,29.99,M,No,Medium (1-5M),-0.1,2010
G0190,Super Empire 3,PC,2017,Shooter,Sega,1.28,70,6.7,20,39.99,T,No,Medium (1-5M),0.3,2010
G0191,Eternal Empire,Xbox,2024,Action,Valve,6.69,77,8.8,31,29.99,T,No,High (5-15M),-1.1,2020
G0192,Epic Rivals 1,PlayStation,2013,Sports,Microsoft,2.4,85,8.6,13,49.99,E,Yes,Medium (1-5M),-0.1,2010
G0193,Storm Empire,PlayStation,2013,Action,Sega,1.54,98,9.8,35,49.99,M,Yes,Medium (1-5M),0.0,2010
G0194,Lost Odyssey 1,Xbox,2013,Action,Ubisoft,1.56,80,8.4,18,19.99,E10+,Yes,Medium (1-5M),-0.4,2010
G0195,Battle Rivals 3,PlayStation,2015,Strategy,Nintendo,6.1,79,8.1,53,19.99,M,No,High (5-15M),-0.2,2010
G0196,Shadow Legacy 3,PC,2019,Shooter,Microsoft,2.53,58,5.3,12,49.99,T,Yes,Medium (1-5M),0.5,2010
G0197,Iron Worlds,PC,2017,Sports,Take-Two,5.6,65,6.9,34,69.99,T,No,High (5-15M),-0.4,2010
G0198,Battle Tactics,PlayStation,2014,Shooter,Nintendo,7.84,66,5.6,26,19.99,E,No,High (5-15M),1.0,2010
G0199,Neon Raid,Xbox,2014,RPG,Capcom,13.7,63,6.3,46,39.99,M,Yes,High (5-15M),0.0,2010
G0200,Iron Warriors,PC,2012,Action,Valve,5.13,87,7.7,28,14.99,M,No,High (5-15M),1.0,2010
G0201,Pixel Chronicles 1,Nintendo Switch,2012,Simulation,Square Enix,0.17,82,7.4,6,49.99,T,No,Low (<1M),0.8,2010
G0202,Eternal Chronicles 2,Xbox,2014,Sports,Microsoft,20.17,82,8.0,7,14.99,E10+,No,Blockbuster (15M+),0.2,2010
